043F cplscrambler-in
0440 cplscrambler-al
0441 ff-annunc
0442 ff-fms
0443 ff-sm
0444 obrpd
0445 proofd
0446 rootd
0447 nicelink
0448 cnrprotocol
0449 sunclustermgr
044A rmiactivation
044B rmiregistry
044C mctp
044D pt2-discover
044E adobeserver-1
044F adobeserver-2
0450 xrl
0451 ftranhc
0452 isoipsigport-1
0453 isoipsigport-2
0454 ratio-adp
0456 nfsd-keepalive
0457 lmsocialserver
0458 icp
045A mini-sql
045B ardus-trns
045C ardus-cntl
045D ardus-mtrns
0462 availant-mgr
0463 murray
0483 nfa
0489 health-polling
048A health-trap
048F phone
0491 tripwire
049C mc-client
04A4 hp-webadmin
04B0 scol
04B1 nucleus-sand
04B2 caiccipc
04B3 ssslic-mgr
04B4 ssslog-mgr
04B5 accord-mgc
04B6 anthony-data
04B7 metasage
04B8 seagull-ais
04B9 ipcd3
04BA eoss
04BB groove-dpp
04BC lupa
04BD mpc-lifenet
04BE kazaa
04BF scanstat-1
04C0 etebac5
04C1 hpss-ndapi
04C2 aeroflight-ads
04C3 aeroflight-ret
04C4 qt-serveradmin
04C5 sweetware-apps
04C6 nerv
04C7 tgp
04C8 vpnz
04C9 slinkysearch
04CA stgxfws
04CB dns2go
04CD novell-zfs
04CE periscope
04CF menandmice-lpm
04D0 mtrgtrans
04D1 univ-appserver
04D2 search-agent
04D3 mosaicsyssvc1
04D4 bvcontrol
04D5 tsdos390
04D6 hacl-qs
04D7 nmsd
04D8 instantia
04D9 nessus
04DA nmasoverip
04DB serialgateway
04DC isbconference1
04DD isbconference2
04DE payrouter
04DF visionpyramid
04E0 hermes
04E1 mesavistaco
04E2 swldy-sias
04E3 servergraph
04E4 bspne-pcc
04E5 q55-pcc
04E6 de-noc
04E7 de-cache-query
04E8 de-server
04E9 shockwave2
04EA opennl
04EB opennl-voice
04EC ibm-ssd
04ED mpshrsv
04EE qnts-orb
04EF dka
04F0 prat
04F1 dssiapi
04F2 dellpwrappks
04F3 pcmlinux
04F4 propel-msgsys
04F5 watilapp
04F6 opsman
04F7 dabew
04F8 cspmlockmgr
04F9 emc-gateway
04FA t1distproc
04FB ivcollector
04FC ivmanager
04FD miva-mqs
04FE dellwebadmin-1
04FF dellwebadmin-2
0500 pictrography
